title,year,distributor,worldwide_gross,worldwide_profit_gross,worldwide_adj,worldwide_profit_adj,worldwide_bits,production_budget,production_budget_adj
Toy Story,1995,Pixar Animation Studios,373554033,343554033,629993828.572541,579399233.9823222,85874490.34482759,30000000,50594594.59021884
Jumanji,1995,TriStar Pictures,262797249,197797249,443204009.0859931,333582387.47385234,60413160.68965518,65000000,109621621.61214082
Waiting to Exhale,1995,Twentieth Century Fox Film Corporation,81452156,65452156,137367960.3773087,110384176.59585866,18724633.563218392,16000000,26983783.781450048
Heat,1995,Regency Enterprises,187436818,127436818,316109660.5996878,214920471.4192501,43088923.67816092,60000000,101189189.18043768
Sudden Death,1995,Universal Pictures,64350171,29350171,108525693.78520858,49498666.7632866,14793142.75862069,35000000,59027027.021921985
GoldenEye,1995,United Artists,352194034,294194034,593970478.9107918,496154262.7030353,80964145.74712645,58000000,97816216.20775643
The American President,1995,Columbia Pictures,107879496,45879496,181937312.15723783,77375150.0041189,24799884.137931038,62000000,104562162.15311894
Nixon,1995,Hollywood Pictures,13681765,-30318235,23074111.78178818,-51131293.61719945,3145233.3333333335,44000000,74205405.39898764
Cutthroat Island,1995,Le Studio Canal+,10017322,-87982678,16894078.182322673,-148381597.4790589,2302832.6436781613,98000000,165275675.66138154
Casino,1995,Universal Pictures,116112375,64112375,195821951.33441538,108124654.04470272,26692500.000000004,52000000,87697297.28971267
Sense and Sensibility,1995,Columbia Pictures Corporation,135000000,118500000,227675675.6559848,199848648.63136443,31034482.75862069,16500000,27827027.02462036
Four Rooms,1995,Miramax Films,4300000,300000,7251891.8912647,505945.9459021884,988505.7471264369,4000000,6745945.945362512
Ace Ventura: When Nature Calls,1995,O Entertainment,212385533,182385533,358185331.29875153,307590736.7085327,48824260.45977012,30000000,50594594.59021884
Money Train,1995,Columbia Pictures,35431113,-24568887,59754093.27050775,-41435095.90992993,8145083.448275863,60000000,101189189.18043768
Get Shorty,1995,Jersey Films,115101622,84851622,194117330.05888712,143101113.84708315,26460142.98850575,30250000,51016216.211804
Assassins,1995,Silver Pictures,30303072,-19696928,51105721.42260707,-33218602.894424334,6966223.448275862,50000000,84324324.3170314
Leaving Las Vegas,1995,United Artists,49800000,46200000,83987027.01976328,77915675.66893701,11448275.862068966,3600000,6071351.350826261
Now and Then,1995,New Line Cinema,27400000,15400000,46209729.725733206,25971891.889645673,6298850.574712644,12000000,20237837.836087536
Twelve Monkeys,1995,Universal Pictures,168840000,139340000,284746378.35375166,234995027.0067031,38813793.10344828,29500000,49751351.34704853
Babe,1995,Universal Pictures,254134910,224134910,428595091.4223918,378000496.83217293,58421818.3908046,30000000,50594594.59021884
Dead Man Walking,1995,Havoc,39363635,28363635,66386238.48074497,47834887.13099806,9049111.494252874,11000000,18551351.34974691
Mortal Kombat,1995,New Line Cinema,122195920,104195920,206081767.76596048,175725011.01182917,28091016.091954026,18000000,30356756.754131306
To Die For,1995,The Rank Organisation,21284514,1284514,35896045.22932791,2166315.5025153453,4892991.724137931,20000000,33729729.726812564
How To Make An American Quilt,1995,Universal Pictures,23574130,13574130,39757451.67223719,22892586.80883091,5419340.229885058,10000000,16864864.863406282
Se7en,1995,New Line Cinema,327311859,294311859,552007027.0225291,496352972.97328836,75244105.51724139,33000000,55654054.04924072
Pocahontas,1995,Walt Disney Pictures,346079773,291079773,583658860.3603321,490902103.6115976,79558568.50574714,55000000,92756756.74873455
The Usual Suspects,1995,Blue Parrot Productions,23341568,17341568,39365239.00200084,29246320.083957072,5365877.7011494255,6000000,10118918.918043768
Mighty Aphrodite,1995,Miramax Films,6700000,-8300000,11299459.458482208,-13997837.836627213,1540229.8850574715,15000000,25297297.29510942
Friday,1995,New Line Cinema,28215918,24715918,47585764.406695284,41683061.70450308,6486417.931034483,3500000,5902702.7021921985
From Dusk Till Dawn,1996,A Band Apart,25836616,6836616,42426443.1140031,11226443.115316782,5845388.235294118,19000000,31199999.998686317
Fair Game,1995,Silver Pictures,11534477,-38465523,19452739.58750679,-64871584.72952461,2651603.9080459774,50000000,84324324.3170314
Big Bully,1996,Warner Bros.,2042530,-12957470,3354049.263016672,-21277529.683314633,462110.85972850677,15000000,24631578.946331304
Screamers,1995,The Movie Network (TMN),5781885,-14218115,9751070.918075582,-23978658.80873698,1329168.9655172415,20000000,33729729.726812564
Things to Do in Denver When You're Dead,1995,Miramax Films,529766,-7470234,893443.1999227292,-12598448.690802295,121785.28735632185,8000000,13491891.890725024
White Squall,1996,Hollywood Pictures,10300000,-27700000,16913684.20981416,-45486315.78755847,2330316.742081448,38000000,62399999.997372635
Nick of Time,1995,Paramount Pictures,8175346,5983,13787610.550158909,10090.248647775978,1879389.8850574715,8169363,13777520.301511133
Mary Reilly,1996,TriStar Pictures,12379402,-34620598,20328281.17809144,-56850666.18707997,2800769.683257919,47000000,77178947.36517142
Vampire in Brooklyn,1995,Paramount Pictures,19800000,5800000,33392432.429544438,9781621.620775644,4551724.137931035,14000000,23610810.808768794
Broken Arrow,1996,Twentieth Century Fox Film Corporation,150270147,100270147,246759399.27382067,164654136.119383,33997770.81447964,50000000,82105263.15443768
Bottle Rocket,1996,Gracie Films,560069,-6439931,919692.2525928551,-10575044.58902842,126712.44343891402,7000000,11494736.841621274
Happy Gilmore,1996,Universal Pictures,41205099,29205099,67663109.93399313,47957846.7769281,9322420.588235294,12000000,19705263.15706504
The Bridges of Madison County,1995,Amblin Entertainment,182016617,158016617,306968564.85993785,266492889.18776277,41842900.45977012,24000000,40475675.67217507
Braveheart,1995,Icon Entertainment International,210000000,138000000,354162162.1315319,232735135.1150067,48275862.068965524,72000000,121427027.01652522
Steal Big Steal Little,1995,Savoy Pictures,6278139,-18721861,10587996.582868064,-31574165.575647637,1443250.3448275863,25000000,42162162.1585157
Boomerang,1992,Paramount Pictures,70100000,30100000,128654117.61678725,55242352.928178266,16891566.26506024,40000000,73411764.68860899
Flirting with Disaster,1996,Miramax Films,14702438,7702438,24142950.820036087,12648213.978414813,3326343.438914027,7000000,11494736.841621274
Jade,1995,Paramount Pictures,9851610,-40148390,16614607.133698195,-67709717.1833332,2264737.931034483,50000000,84324324.3170314
The Birdcage,1996,United Artists,185260553,154260553,304217329.124033,253312065.9682816,41914152.26244344,31000000,50905263.15575136
Bad Boys,1995,Columbia Pictures,141407024,122407024,238481035.04964486,206437791.80917293,32507361.839080464,19000000,32043243.240471933
An Awfully Big Adventure,1995,Fine Line Features,851545,-3148455,1436119.1350109302,-5309826.810351582,195757.47126436784,4000000,6745945.945362512
Apollo 13,1995,Imagine Entertainment,355237933,303237933,599103973.4400774,511406676.1503648,81663892.64367817,52000000,87697297.28971267
Rob Roy,1995,United Artists,31596911,3596911,53287763.41160754,6066141.794069955,7263657.7011494255,28000000,47221621.61753759
Batman Forever,1995,Warner Bros.,336529144,236529144,567551853.6157793,398903204.98171645,77363021.60919541,100000000,168648648.6340628
Blue in the Face,1995,Miramax Films,1275000,-725000,2150270.270084301,-1222702.7025969555,293103.4482758621,2000000,3372972.972681256
Casper,1995,Universal Pictures,287928194,237928194,485587008.2174627,401262683.90043133,66190389.42528736,50000000,84324324.3170314
Clockers,1995,Universal Pictures,13071518,-11928482,22044938.462958273,-20117223.695557427,3004946.666666667,25000000,42162162.1585157
Congo,1995,Paramount Pictures,152022101,102022101,256383218.96161008,172058894.64457867,34947609.42528736,50000000,84324324.3170314
Crimson Tide,1995,Hollywood Pictures,157387195,104387195,265431377.49055725,176047593.71450397,36180964.3678161,53000000,89383783.7760533
Desperado,1995,Columbia Pictures,25405445,18405445,42845939.67197008,31040534.26758568,5840332.183908046,7000000,11805405.404384397
Devil in a Blue Dress,1995,TriStar Pictures,16140822,-10859178,27221278.18142951,-18313856.949767448,3710533.7931034486,27000000,45535135.13119696
Die Hard: With a Vengeance,1995,Twentieth Century Fox Film Corporation,366101666,276101666,617425512.3357902,465641728.56513363,84161302.52873564,90000000,151783783.77065653
First Knight,1995,Columbia Pictures Corporation,127600435,72600435,215196409.2786857,122439652.52995116,29333433.333333336,55000000,92756756.74873455
Hackers,1995,United Artists,7563728,-12436272,12756125.058356225,-20973604.668456335,1738788.0459770116,20000000,33729729.726812564
Johnny Mnemonic,1995,TriStar Pictures,19075720,-5924280,32170943.997217644,-9991218.161298055,4385222.988505747,25000000,42162162.1585157
Judge Dredd,1995,Hollywood Pictures,113493481,23493481,191405221.99425682,39621438.223600306,26090455.402298853,90000000,151783783.77065653
Kids,1995,Miramax Films,7412216,5912216,12500602.117837785,9970872.388326842,1703957.7011494255,1500000,2529729.729510942
Mallrats,1995,Universal Pictures,2122561,-3877439,3579670.4429336498,-6539248.475110118,487945.0574712644,6000000,10118918.918043768
Mighty Morphin Power Rangers: The Movie,1995,Twentieth Century Fox Film Corporation,66000000,51000000,111308108.09848145,86010810.80337203,15172413.793103449,15000000,25297297.29510942
The Net,1995,Columbia Pictures,110627965,88627965,186572567.98386398,149469865.28437015,25431716.091954026,22000000,37102702.69949382
The Scarlet Letter,1995,Hollywood Pictures,10382407,-39617593,17509789.101188343,-66814535.21584306,2386760.2298850575,50000000,84324324.3170314
Showgirls,1995,United Artists,20350754,-24649246,34321271.60784248,-41570620.27748578,4678334.252873563,45000000,75891891.88532826
Smoke,1995,Miramax Films,8349430,1349430,14081200.86364703,2275795.4592626337,1919409.195402299,7000000,11805405.404384397
Species,1995,Metro-Goldwyn-Mayer (MGM),113374103,78374103,191203892.61049047,132176865.58856848,26063012.18390805,35000000,59027027.021921985
Strange Days,1995,Lightstorm Entertainment,7959291,-34040709,13423236.712352583,-57409195.71395379,1829722.0689655175,42000000,70832432.42630638
The Tie That Binds,1995,Hollywood Pictures,5780000,-8220000,9747891.89104883,-13862918.917719962,1328735.6321839083,14000000,23610810.808768794
Under Siege 2: Dark Territory,1995,Regency Enterprises,104324083,44324083,175941156.17937806,74751966.99894036,23982547.816091955,60000000,101189189.18043768
A Walk in the Clouds,1995,Twentieth Century Fox Film Corporation,50012507,30012507,84345417.20351607,50615687.4767035,11497128.045977013,20000000,33729729.726812564
Waterworld,1995,Universal Pictures,264218220,89218220,445600457.47497505,150465322.36536515,60739820.68965518,175000000,295135135.1096099
Before Sunrise,1995,Detour Film Production,5535405,3035405,9335385.728922345,5119169.513070774,1272506.8965517243,2500000,4216216.2158515705
Billy Madison,1995,Jack Giarraputo Productions,26488734,16488734,44672891.93127153,27808027.06786525,6089364.137931035,10000000,16864864.863406282
Boys on the Side,1995,Regency Enterprises,23450000,2450000,39548108.10468773,4131891.891534539,5390804.59770115,21000000,35416216.21315319
Don Juan DeMarco,1994,New Line Cinema,22200000,-2800000,38479999.99486934,-4853333.332686222,5260663.507109005,25000000,43333333.32755555
Disclosure,1994,Warner Bros.,214015089,159015089,370959487.5505387,275626154.2299165,50714476.06635071,55000000,95333333.32062222
Dumb and Dumber,1994,New Line Cinema,247275374,231275374,428610648.20951855,400877314.879883,58596060.18957347,16000000,27733333.329635557
Ed Wood,1994,Touchstone Pictures,5887457,-12112543,10204925.46530601,-20995074.530533988,1395131.9905213271,18000000,31199999.995839998
Hideaway,1995,TriStar Pictures,12201255,-2798745,20577251.67389602,-4720045.621213401,2804886.206896552,15000000,25297297.29510942
Heavenly Creatures,1994,WingNut Films,3049135,-1950865,5285167.332628644,-3381499.3328824667,722543.8388625593,5000000,8666666.66551111
Houseguest,1995,Caravan Pictures,26325256,15825256,44397188.49345754,26689080.38688094,6051782.988505747,10500000,17708108.106576595
Interview with the Vampire,1994,Geffen Pictures,223664608,163664608,387685320.48164195,283685320.4955086,53001091.94312797,60000000,103999999.98613334
Jefferson in Paris,1995,Merchant Ivory Productions,2474000,-11526000,4172367.567206714,-19438443.24156208,568735.6321839081,14000000,23610810.808768794
Junior,1994,Universal Pictures,37000000,-23000000,64133333.32478222,-39866666.66135111,8767772.511848342,60000000,103999999.98613334
Legends of the Fall,1994,Bedford Falls Productions,160638883,130638883,278440730.4962079,226440730.50314122,38066086.01895735,30000000,51999999.99306667
Losing Isaiah,1995,Paramount Pictures,7603766,-9396234,12823648.604296332,-15846621.663494345,1747992.1839080462,17000000,28670270.26779068
Frankenstein,1994,American Zoetrope,112006296,67006296,194144246.3741141,116144246.3845141,26541776.303317536,45000000,77999999.9896
Nell,1994,Twentieth Century Fox Film Corporation,106683817,75683817,184918616.1086775,131185282.78250863,25280525.35545024,31000000,53733333.32616889
Natural Born Killers,1994,Regency Enterprises,50282766,16282766,87156794.3883791,28223461.06290354,11915347.39336493,34000000,58933333.32547555
Outbreak,1995,Kopelson Entertainment,189859560,139859560,320195582.2425777,235871257.92554626,43645875.862068966,50000000,84324324.3170314
The Perez Family,1995,"Samuel Goldwyn Company, The",2832826,-8167174,4777522.767154376,-13773828.582592532,651224.367816092,11000000,18551351.34974691
Pulp Fiction,1994,Miramax Films,213928762,205928762,370809854.083892,356943187.41907424,50694019.43127962,8000000,13866666.664817778
The Quick and the Dead,1995,TriStar Pictures,18552460,-13447540,31288473.07837505,-22679094.48452505,4264933.333333334,32000000,53967567.562900096
Prêt-à-Porter,1994,Miramax Films,11300653,-3699347,19587798.530721627,-6412201.465811706,2677879.8578199055,15000000,25999999.996533334
The Swan Princess,1994,Rich Animation Studios,9771658,-25228342,16937540.531074993,-43729126.127502784,2315558.767772512,35000000,60666666.65857778
The Specialist,1994,Jerry Weintraub Productions,170362582,125362582,295295142.09396064,217295142.10436064,40370280.09478673,45000000,77999999.9896
Stargate,1994,Centropolis Entertainment,196567262,141567262,340716587.42123777,245383254.10061556,46579919.905213274,55000000,95333333.32062222
The Santa Clause,1994,Walt Disney Pictures,189833357,167833357,329044485.42279404,290911152.0945452,44984207.819905214,22000000,38133333.32824889
The Shawshank Redemption,1994,Castle Rock Entertainment,28341469,3341469,49125212.9267833,5791879.59922775,6715987.914691944,25000000,43333333.32755555
Tank Girl,1995,Trilogy Entertainment Group,4064495,-20935505,6854715.891299051,-35307446.26721665,934366.6666666667,25000000,42162162.1585157
Star Trek: Generations,1994,Paramount Pictures,120000000,82000000,207999999.97226667,142133333.31438223,28436018.957345974,38000000,65866666.65788444
Tales from the Hood,1995,40 Acres & A Mule Filmworks,12000000,6000000,20237837.836087536,10118918.918043768,2758620.6896551726,6000000,10118918.918043768
What's Eating Gilbert Grape,1993,Paramount Pictures,10032765,-967235,17886986.73958638,-1724441.828256102,2383079.572446556,11000000,19611428.567842484
Virtuosity,1995,Paramount Pictures,24048000,-5952000,40556627.02351943,-10037967.56669942,5528275.862068966,30000000,50594594.59021884
While You Were Sleeping,1995,Caravan Pictures,182057016,165057016,307036697.2274995,278366426.9597088,41852187.5862069,17000000,28670270.26779068
Muriel's Wedding,1994,Ciby 2000,15119639,12119639,26207374.26317235,21007374.263865683,3582852.843601896,3000000,5199999.999306667
Ace Ventura: Pet Detective,1994,Warner Bros.,107217396,92217396,185843486.37522087,159843486.37868753,25406965.876777254,15000000,25999999.996533334
Bitter Moon,1992,Fine Line Features,1862805,-3137195,3418795.0580191067,-5757675.528057017,448868.67469879513,5000000,9176470.586076124
Clear and Present Danger,1994,Paramount Pictures,215887717,153887717,374205376.0834393,266738709.4311015,51158226.77725119,62000000,107466666.65233777
The Client,1994,Regency Enterprises,117615211,72615211,203866365.70615116,125866365.71655115,27870903.080568723,45000000,77999999.9896
The Crow,1994,Miramax Films,94000000,79000000,162933333.31160888,136933333.31507555,22274881.51658768,15000000,25999999.996533334
The Flintstones,1994,Universal Pictures,341631208,295631208,592160760.4543786,512427427.1316763,80955262.55924171,46000000,79733333.32270221
Forrest Gump,1994,Paramount Pictures,677945399,622945399,1175105358.1099858,1079772024.7893636,160650568.48341233,55000000,95333333.32062222
Four Weddings and a Funeral,1994,Channel Four Films,254700832,248700832,441481442.07446915,431081442.0758558,60355647.393364936,6000000,10399999.998613333
I Love Trouble,1994,Caravan Pictures,61947267,16947267,107375262.7856833,29375262.796083298,14679447.156398105,45000000,77999999.9896
The Lion King,1994,Walt Disney Pictures,788241776,743241776,1366285744.8844953,1288285744.8948953,186787150.7109005,45000000,77999999.9896
Little Buddha,1993,Miramax Films,4858139,-30141861,8661367.815559065,-53738632.17303065,1153952.2565320665,35000000,62399999.98858972
New Nightmare,1994,New Line Cinema,18090181,4090181,31356313.72915249,7089647.0657213805,4286772.748815166,14000000,24266666.66343111
The Mask,1994,New Line Cinema,351583407,328583407,609411238.7187451,569544572.057394,83313603.55450237,23000000,39866666.66135111
The Naked Gun 33⅓: The Final Insult,1994,Paramount Pictures,51132598,21132598,88629836.52151603,36629836.52844936,12116729.383886257,30000000,51999999.99306667
Reality Bites,1994,Universal Pictures,20079850,8579850,34805073.32869266,14871739.9980171,4758258.293838863,11500000,19933333.330675554
Red Rock West,1993,Propaganda Films,2000000,-6000000,3565714.28506227,-10697142.855186809,475059.38242280285,8000000,14262857.14024908
Speed,1994,Twentieth Century Fox Film Corporation,350448145,320448145,607443451.2523409,555443451.2592742,83044584.12322275,30000000,51999999.99306667
Timecop,1994,Universal Pictures,101646581,74646581,176187407.043175,129387407.049415,24086867.535545025,27000000,46799999.99376
True Lies,1994,Twentieth Century Fox Film Corporation,378882411,263882411,656729512.3124361,457396179.0056805,89782561.84834124,115000000,199333333.30675554
Wyatt Earp,1994,Tig Productions,25052000,-37948000,43423466.66087687,-65776533.32456313,5936492.890995261,63000000,109199999.98544
A Low Down Dirty Shame,1994,Caravan Pictures,29392418,19392418,50946857.85987375,33613524.52885153,6965027.9620853085,10000000,17333333.33102222
Street Fighter,1994,Universal Pictures,99423521,64423521,172334103.04368877,111667436.385111,23560076.066350713,35000000,60666666.65857778
Highlander III: The Sorcerer,1994,Trans-Film,36800000,10800000,63786666.658161774,18719999.997504,8720379.146919431,26000000,45066666.66065778
In the Mouth of Madness,1994,New Line Cinema,8946600,946600,15507439.997932341,1640773.3331145635,2120047.393364929,8000000,13866666.664817778
The Age of Innocence,1993,Columbia Pictures,32255440,-1744560,57506841.58948447,-3110301.2565741166,7661624.703087886,34000000,60617142.846058585
The Air Up There,1994,Hollywood Pictures,21011500,3931500,36419933.328477345,6814599.999091387,4979028.436018958,17080000,29605333.329385955
Beverly Hills Cop III,1994,Paramount Pictures,119208989,69208989,206628914.23911613,119962247.58400503,28248575.592417065,50000000,86666666.6551111
Body Snatchers,1993,Warner Bros.,428868,-12571132,764610.3770030427,-22412532.475901708,101868.8836104513,13000000,23177142.852904752
A Bronx Tale,1993,HBO Films,17287898,-4712102,30821852.42864972,-8401004.707035245,4106389.0736342045,22000000,39222857.13568497
Calendar Girl,1993,Columbia Pictures,2570145,-10429855,4582201.370590683,-18594941.48231407,610485.7482185273,13000000,23177142.852904752
Carlito's Way,1993,Universal Pictures,36516012,6516012,65102832.810952626,11617118.535018584,8673637.05463183,30000000,53485714.27593404
Cliffhanger,1993,TriStar Pictures,255000211,185000211,454628947.5282965,329828947.551117,60570121.37767221,70000000,124799999.97717944
Color of Night,1994,Hollywood Pictures,19726050,-20273950,34191819.99544109,-35141513.3286478,4674419.431279621,40000000,69333333.32408889
Dazed and Confused,1993,Gramercy Pictures,7993039,1093039,14250446.67167992,1948732.388215089,1898584.0855106888,6900000,12301714.28346483
Demolition Man,1993,Silver Pictures,159055768,102055768,283573712.0395751,181950854.91530043,37780467.4584323,57000000,101622857.12427469
For Love or Money,1993,Universal Studios,11146270,-18853730,19872207.082080513,-33613507.193853535,2647570.071258907,30000000,53485714.27593404
The Firm,1993,Paramount Pictures,270248367,228248367,481814231.3633254,406934231.37701774,64192011.16389549,42000000,74879999.98630767
Free Willy,1993,Canal Plus,153698625,133698625,274022691.37846446,238365548.52784175,36507986.93586698,20000000,35657142.8506227
The Fugitive,1993,Warner Bros.,368875760,324875760,657652783.4226006,579207069.1512307,87618945.36817102,44000000,78445714.27136993
Geronimo: An American Legend,1993,Columbia Pictures,18635620,-16364380,33224648.222496066,-29175351.766093653,4426513.064133016,35000000,62399999.98858972
Hard Target,1993,Universal Pictures,74189677,56189677,132269595.54152785,100178166.97596742,17622251.06888361,18000000,32091428.565560427
Hot Shots! Part Deux,1993,Twentieth Century Fox Film Corporation,133752825,108752825,238462179.38496694,193890750.82168856,31770267.220902614,25000000,44571428.56327837
